name,display_name,lat,lon,height_m
Carn a' Choire Bhoidheach,Carn a' Choire Bhoidheach,56.94579,-3.2727,1110
Carn a' Gheoidh,Carn a' Gheoidh,56.87307,-3.46662,975
Carn a' Mhaim,Carn a' Mhaim,57.03688,-3.65838,1037
Carn an Fhidhleir [Carn Ealar],Carn an Fhidhleir [Carn Ealar],56.93603,-3.80153,994
Carn an Righ,Carn an Righ,56.8766,-3.59527,1029
Carn an Tuirc,Carn an Tuirc,56.90829,-3.35713,1019
Carn an t-Sagairt Mor,Carn an t-Sagairt Mor,56.94298,-3.30323,1047
Carn na Caim,Carn na Caim,56.91175,-4.17448,941
Carn nan Gabhar (Beinn a' Ghlo),Carn nan Gabhar (Beinn a' Ghlo),56.83985,-3.68805,1122
Carn nan Gobhar,"Carn nan Gobhar (Glen Strathfarrar, 992 m)",57.45235,-4.87993,992
Carn nan Gobhar,"Carn nan Gobhar (Glen Cannich, 993 m)",57.36332,-5.02455,993
Chno Dearg,Chno Dearg,56.8301,-4.66084,1046
Ciste Dhubh,Ciste Dhubh,57.19926,-5.20904,981
Cona' Mheall,Cona' Mheall,57.7911,-4.90342,978
Conival,Conival,58.13571,-4.8835,987
Creag Leacach,Creag Leacach,56.85464,-3.38776,988
Creag Meagaidh,Creag Meagaidh,56.95203,-4.60213,1128
Creag Mhor,Creag Mhor,56.48953,-4.61405,1047
Creag Pitridh,Creag Pitridh,56.89973,-4.48495,924
Creag a' Mhaim,Creag a' Mhaim,57.12099,-5.16005,946
Creag nan Damh,Creag nan Damh,57.14729,-5.33498,917
Creise,Creise,56.61446,-4.87201,1100
Cruach Ardrain,Cruach Ardrain,56.35644,-4.57616,1046
Derry Cairngorm,Derry Cairngorm,57.06281,-3.62201,1155
Driesh,Driesh,56.84799,-3.19653,947
Druim Shionnach,Druim Shionnach,57.12681,-5.18284,985
Eididh nan Clach Geala,Eididh nan Clach Geala,57.81352,-4.9342,927
Fionn Bheinn,Fionn Bheinn,57.61117,-5.10272,933
Gairich,Gairich,57.0449,-5.25584,919
Garbh Chioch Mhor,Garbh Chioch Mhor,57.00857,-5.44434,1013
Geal Charn,"Geal Charn (Monadhliath, 926 m)",57.05744,-4.37358,926
Geal Charn,"Geal Charn (Laggan, 1049 m)",56.89778,-4.45724,1049
Geal-Charn,"Geal-Charn (Ben Alder area, 1132 m)",56.83785,-4.50971,1132
Geal-charn,"Geal-charn (Drumochter, 917 m)",56.87445,-4.30452,917
Glas Bheinn Mhor,Glas Bheinn Mhor,56.54243,-5.00529,998
Glas Leathad Mor (Ben Wyvis),Glas Leathad Mor (Ben Wyvis),57.67893,-4.57925,1046
Glas Maol,Glas Maol,56.87307,-3.36824,1068
Glas Tulaichean,Glas Tulaichean,56.86577,-3.55816,1051
Gleouraich,Gleouraich,57.09718,-5.23804,1035
Gulvain [Gaor Bheinn],Gulvain [Gaor Bheinn],56.93623,-5.28453,987
Ladhar Bheinn,Ladhar Bheinn,57.07529,-5.59176,1020
Leabaidh an Daimh Bhuidhe (Ben Avon),Leabaidh an Daimh Bhuidhe (Ben Avon),57.09936,-3.43444,1172
Luinne Bheinn,Luinne Bheinn,57.04835,-5.51362,939
